symbol,stock_name
000001,平安银行
000002,万科A
000006,深振业A
000009,中国宝安
000010,美丽生态
000011,深物业A
000014,沙河股份
000017,深中华A
000019,深粮控股
000020,深华发A
000023,深天地A
000025,特力A
000026,飞亚达
000027,深圳能源
000028,国药一致
000030,富奥股份
000032,深桑达A
000034,神州数码
000035,中国天楹
000037,深南电A
000039,中集集团
000042,中洲控股
000045,深纺织A
000048,京基智农
000049,德赛电池
000050,深天马A
000056,皇庭国际
000059,华锦股份
000060,中金岭南
000061,农产品
000062,深圳华强
000065,北方国际
000068,华控赛格
000069,华侨城A
000078,海王生物
000088,盐田港
000090,天健集团
000099,中信海直
000150,宜华健康
000153,丰原药业
000156,华数传媒
000157,中联重科
000159,国际实业
000166,申万宏源
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000401,冀东水泥
000403,派林生物
000407,胜利股份
000409,云鼎科技
000411,英特集团
000415,渤海租赁
000417,合肥百货
000420,吉林化纤
000421,南京公用
000423,东阿阿胶
000425,徐工机械
000428,华天酒店
000430,张家界
000498,山东路桥
000503,国新健康
000504,南华生物
000505,京粮控股
000507,珠海港
000510,新金路
000514,渝开发
000517,荣安地产
000518,四环生物
000519,中兵红箭
000521,长虹美菱
000526,学大教育
000528,柳工
000529,广弘控股
000531,穗恒运A
000532,华金资本
000534,万泽股份
000537,广宇发展
000538,云南白药
000539,粤电力A
000541,佛山照明
000543,皖能电力
000544,中原环保
000546,金圆股份
000547,航天发展
000550,江铃汽车
000551,创元科技
000552,靖远煤电
000554,泰山石油
000555,神州信息
000557,西部创业
000559,万向钱潮
000560,我爱我家
000561,烽火电子
000563,陕国投A
000566,海南海药
000567,海德股份
000568,泸州老窖
000572,海马汽车
000576,甘化科工
000581,威孚高科
000582,北部湾港
000584,哈工智能
000586,汇源通信
000589,贵州轮胎
000591,太阳能
000593,大通燃气
000596,古井贡酒
000597,东北制药
000598,兴蓉环境
000600,建投能源
000603,盛达资源
000607,华媒控股
000610,西安旅游
000612,焦作万方
000617,中油资本
000620,新华联
000623,吉林敖东
000626,远大控股
000628,高新发展
000629,攀钢钒钛
000630,铜陵有色
000632,三木集团
000635,英力特
000636,风华高科
000639,西王食品
000650,仁和药业
000651,格力电器
000655,金岭矿业
000656,金科股份
000657,中钨高新
000661,长春高新
000666,经纬纺机
000668,荣丰控股
000671,阳光城
000672,上峰水泥
000677,恒天海龙
000679,大连友谊
000680,山推股份
000682,东方电子
000685,中山公用
000686,东北证券
000690,宝新能源
000691,亚太实业
000695,滨海能源
000698,沈阳化工
000701,厦门信达
000703,恒逸石化
000705,浙江震元
000708,中信特钢
000709,河钢股份
000710,贝瑞基因
000712,锦龙股份
000713,丰乐种业
000716,黑芝麻
000717,韶钢松山
000719,中原传媒
000720,新能泰山
000722,湖南发展
000725,京东方A
000727,冠捷科技
000729,燕京啤酒
000731,四川美丰
000733,振华科技
000736,中交地产
000738,航发控制
000739,普洛药业
000751,锌业股份
000755,山西路桥
000756,新华制药
000757,浩物股份
000759,中百集团
000762,西藏矿业
000767,晋控电力
000768,中航西飞
000776,广发证券
000777,中核科技
000779,甘咨询
000783,长江证券
000785,居然之家
000786,北新建材
000788,北大医药
000789,万年青
000791,甘肃电投
000795,英洛华
000797,中国武夷
000799,酒鬼酒
000800,一汽解放
000803,北清环能
000807,云铝股份
000809,铁岭新城
000810,创维数字
000812,陕西金叶
000815,美利云
000818,航锦科技
000819,岳阳兴长
000822,山东海化
000823,超声电子
000826,启迪环境
000828,东莞控股
000830,鲁西化工
000831,五矿稀土
000833,粤桂股份
000837,秦川机床
000839,中信国安
000850,华茂股份
000852,石化机械
000858,五粮液
000859,国风塑业
000861,海印股份
000863,三湘印象
000869,张裕A
000875,吉电股份
000876,新希望
000877,天山股份
000878,云南铜业
000880,潍柴重机
000882,华联股份
000883,湖北能源
000886,海南高速
000888,峨眉山A
000890,法尔胜
000893,亚钾国际
000895,双汇发展
000897,津滨发展
000899,赣能股份
000901,航天科技
000902,新洋丰
000905,厦门港务
000906,浙商中拓
000909,数源科技
000910,大亚圣象
000911,南宁糖业
000912,泸天化
000915,华特达因
000918,嘉凯城
000920,南方汇通
000921,海信家电
000922,佳电股份
000923,河钢资源
000925,众合科技
000927,中国铁物
000928,中钢国际
000930,中粮科技
000931,中关村
000932,华菱钢铁
000933,神火股份
000936,华西股份
000937,冀中能源
000938,紫光股份
000948,南天信息
000949,新乡化纤
000950,重药控股
000951,中国重汽
000953,河化股份
000955,欣龙控股
000958,东方能源
000959,首钢股份
000960,锡业股份
000961,中南建设
000963,华东医药
000966,长源电力
000967,盈峰环境
000969,安泰科技
000973,佛塑科技
000975,银泰黄金
000976,华铁股份
000977,浪潮信息
000982,中银绒业
000983,山西焦煤
000987,越秀金控
000988,华工科技
000990,诚志股份
000995,皇台酒业
000997,新大陆
000999,华润三九
001696,宗申动力
001872,招商港口
001914,招商积余
001979,招商蛇口
002001,新和成
002003,伟星股份
002004,华邦健康
002007,华兰生物
002009,天奇股份
002010,传化智联
002012,凯恩股份
002014,永新股份
002015,协鑫能科
002016,世荣兆业
002019,亿帆医药
002020,京新药业
002022,科华生物
002023,海特高新
002025,航天电器
002026,山东威达
002028,思源电气
002030,达安基因
002032,苏泊尔
002034,旺能环境
002036,联创电子
002037,保利联合
002039,黔源电力
002040,南京港
002042,华孚时尚
002043,兔宝宝
002045,国光电器
002046,国机精工
002048,宁波华翔
002049,紫光国微
002050,三花智控
002053,云南能投
002055,得润电子
002056,横店东磁
002057,中钢天源
002059,云南旅游
